17:05:15:281	edadb700	got 248 bytes
17:05:15:281	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x6613d44f0bfc771b13e358307064cc128057705b819fbccb08042c68c99b0df5","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ec"]}

17:05:15:281	edadb700	parse packet: 247
17:05:15:281	edadb700	ETH: job is the same
17:05:15:281	edadb700	new buf size: 0
17:05:25:195	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8723", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:05:25:198	edadb700	ETH: checking pool connection...
17:05:25:198	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:05:25:278	edadb700	got 39 bytes
17:05:25:278	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:05:25:278	edadb700	parse packet: 38
17:05:25:278	edadb700	new buf size: 0
17:05:25:360	edadb700	got 248 bytes
17:05:25:360	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x6613d44f0bfc771b13e358307064cc128057705b819fbccb08042c68c99b0df5","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ec"]}

17:05:25:360	edadb700	parse packet: 247
17:05:25:360	edadb700	ETH: job is the same
17:05:25:360	edadb700	new buf size: 0
17:05:27:579	edadb700	got 248 bytes
17:05:27:580	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x1721d03237097d83406ab64e5583382944573fd15ac0665b3b6d7c730c11a0dc","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ed"]}

17:05:27:580	edadb700	parse packet: 247
17:05:27:580	edadb700	ETH: job changed
17:05:27:580	edadb700	new buf size: 0
17:05:27:584	edadb700	ETH: 05/15/17-17:05:27 - New job from eu1.ethermine.org:4444
17:05:27:584	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:05:27:586	edadb700	ETH - Total Speed: 21.857 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
17:05:27:588	edadb700	ETH: GPU0 21.857 Mh/s
17:05:34:054	edadb700	got 248 bytes
17:05:34:054	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x67666e018254150a690ef4eb58b990471bf471213a5e27eb681115993cbcbf7a","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ee"]}

17:05:34:054	edadb700	parse packet: 247
17:05:34:054	edadb700	ETH: job changed
17:05:34:054	edadb700	new buf size: 0
17:05:34:059	edadb700	ETH: 05/15/17-17:05:34 - New job from eu1.ethermine.org:4444
17:05:34:059	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:05:34:060	edadb700	ETH - Total Speed: 21.854 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
17:05:34:062	edadb700	ETH: GPU0 21.854 Mh/s
17:05:35:199	edadb700	ETH: checking pool connection...
