16:31:45:854	c50d8700	got 39 bytes
16:31:45:854	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:31:45:854	c50d8700	parse packet: 38
16:31:45:854	c50d8700	new buf size: 0
16:31:45:935	c50d8700	got 248 bytes
16:31:45:935	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:45:935	c50d8700	parse packet: 247
16:31:45:935	c50d8700	ETH: job is the same
16:31:45:935	c50d8700	new buf size: 0
16:31:54:957	d51f7740	GPU0 t=58C fan=45%
16:31:54:957	d51f7740	em hbt: 0, fm hbt: 18, 
16:31:54:957	d51f7740	watchdog - thread 0, hb time 396
16:31:54:957	d51f7740	watchdog - thread 1, hb time 180
16:31:55:779	c50d8700	ETH: checking pool connection...
16:31:55:779	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:31:55:860	c50d8700	got 248 bytes
16:31:55:860	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:55:860	c50d8700	parse packet: 247
16:31:55:861	c50d8700	ETH: job is the same
16:31:55:861	c50d8700	new buf size: 0
16:32:05:773	c50d8700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d7b46", "0x000000000000000000000000000000000000000000000000000000002ec382b2"]}

16:32:05:781	c50d8700	ETH: checking pool connection...
16:32:05:781	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:32:05:854	c50d8700	got 39 bytes
16:32:05:854	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:32:05:854	c50d8700	parse packet: 38
16:32:05:855	c50d8700	new buf size: 0
16:32:05:936	c50d8700	got 248 bytes
16:32:05:936	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:32:05:936	c50d8700	parse packet: 247
16:32:05:936	c50d8700	ETH: job is the same
16:32:05:936	c50d8700	new buf size: 0
16:32:15:783	c50d8700	ETH: checking pool connection...
16:32:15:783	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:32:15:864	c50d8700	got 248 bytes
16:32:15:864	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:32:15:864	c50d8700	parse packet: 247
16:32:15:864	c50d8700	ETH: job is the same
16:32:15:864	c50d8700	new buf size: 0
16:32:18:958	c50d8700	got 248 bytes
16:32:18:958	c50d8700	buf: {"id":0,"jsonrpc":"2.0","result":["0x241f31612cfd3095b916eb43645e6cbd61ea9405875532b3fa416ca8efbb3cc8","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07d"]}

16:32:18:958	c50d8700	parse packet: 247
16:32:18:959	c50d8700	ETH: job changed
16:32:18:959	c50d8700	new buf size: 0
16:32:18:964	c50d8700	ETH: 05/15/17-16:32:18 - New job from eu1.ethermine.org:4444
16:32:18:964	c50d8700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
16:32:18:966	c50d8700	ETH - Total Speed: 21.857 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
16:32:18:968	c50d8700	ETH: GPU0 21.857 Mh/s
16:32:20:779	c50d8700	got 248 bytes
16:32:20:779	c50d8700	buf: {"id":0,"jsonrpc":"2.0","result":["0x8dd283e2cc372e9dc881d536d7f997c735593f42596378a742d7b7b41f28bbcc","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07e"]}

16:32:20:779	c50d8700	parse packet: 247
16:32:20:779	c50d8700	ETH: job changed
16:32:20:779	c50d8700	new buf size: 0
16:32:20:784	c50d8700	ETH: 05/15/17-16:32:20 - New job from eu1.ethermine.org:4444
16:32:20:784	c50d8700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
16:32:20:786	c50d8700	ETH - Total Speed: 21.855 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
16:32:20:788	c50d8700	ETH: GPU0 21.855 Mh/s
16:32:22:774	c50d8700	got 248 bytes
16:32:22:774	c50d8700	buf: {"id":0,"jsonrpc":"2.0","result":["0x01fe3ca3c2b4638d92963e6a0cc59695a3442f9c473a951396a76f12939fa4a7","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07f"]}

16:32:22:774	c50d8700	parse packet: 247
16:32:22:774	c50d8700	ETH: job changed
16:32:22:774	c50d8700	new buf size: 0
16:32:22:779	c50d8700	ETH: 05/15/17-16:32:22 - New job from eu1.ethermine.org:4444
16:32:22:779	c50d8700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
16:32:22:781	c50d8700	ETH - Total Speed: 21.862 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
16:32:22:783	c50d8700	ETH: GPU0 21.862 Mh/s
16:32:24:992	d51f7740	GPU0 t=61C fan=47%
16:32:24:992	d51f7740	em hbt: 1, fm hbt: 25, 
16:32:24:992	d51f7740	watchdog - thread 0, hb time 202
16:32:24:992	d51f7740	watchdog - thread 1, hb time 418
16:32:25:775	c50d8700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d7b46", "0x000000000000000000000000000000000000000000000000000000002ec382b2"]}

16:32:25:784	c50d8700	ETH: checking pool connection...
16:32:25:784	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:32:25:856	c50d8700	got 39 bytes
16:32:25:856	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:32:25:856	c50d8700	parse packet: 38
16:32:25:856	c50d8700	new buf size: 0
16:32:25:937	c50d8700	got 248 bytes
16:32:25:937	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0x01fe3ca3c2b4638d92963e6a0cc59695a3442f9c473a951396a76f12939fa4a7","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07f"]}

16:32:25:937	c50d8700	parse packet: 247
16:32:25:937	c50d8700	ETH: job is the same
16:32:25:937	c50d8700	new buf size: 0
16:32:35:785	c50d8700	ETH: checking pool connection...
16:32:35:785	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:32:35:869	c50d8700	got 248 bytes
