18:37:51:421	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:37:51:503	761f2700	got 248 bytes
18:37:51:503	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x01f94843f99914f1253f792acb727bfc350416c3fba1af472f224baacf36bcd9","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25d"]}

18:37:51:503	761f2700	parse packet: 247
18:37:51:503	761f2700	ETH: job is the same
18:37:51:503	761f2700	new buf size: 0
18:38:01:419	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8e42", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:38:01:422	761f2700	ETH: checking pool connection...
18:38:01:422	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:01:502	761f2700	got 39 bytes
18:38:01:502	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:38:01:502	761f2700	parse packet: 38
18:38:01:502	761f2700	new buf size: 0
18:38:01:583	761f2700	got 248 bytes
18:38:01:583	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x01f94843f99914f1253f792acb727bfc350416c3fba1af472f224baacf36bcd9","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25d"]}

18:38:01:583	761f2700	parse packet: 247
18:38:01:583	761f2700	ETH: job is the same
18:38:01:583	761f2700	new buf size: 0
18:38:11:337	86311740	GPU0 t=60C fan=48%
18:38:11:337	86311740	em hbt: 0, fm hbt: 19, 
18:38:11:337	86311740	watchdog - thread 0, hb time 277
18:38:11:337	86311740	watchdog - thread 1, hb time 62
18:38:11:423	761f2700	ETH: checking pool connection...
18:38:11:423	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:38:11:507	761f2700	got 248 bytes
18:38:11:507	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x01f94843f99914f1253f792acb727bfc350416c3fba1af472f224baacf36bcd9","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25d"]}

18:38:11:508	761f2700	parse packet: 247
18:38:11:508	761f2700	ETH: job is the same
18:38:11:508	761f2700	new buf size: 0
18:38:13:440	761f2700	got 248 bytes
